display_date,headline,active_topics_normal,active_topics_ignore_future
2009-06-30 06:01:02.239,Denny's Tries Night-Owl Vibe --- Courting Rockers Chain Seeks Post-Party Young Adults ---- By Julie Jargon,Retail,Competition
2008-02-29 07:18:04.169,Dollar's Dive Deepens as Oil Soars --- Commodity Prices Surge As Investors Seek a Haven ---- By Tom Lauricella and Ann Davis,"Commodities, Oil market","Commodities, Oil market"
2008-08-29 06:02:52.565,Media & Marketing -- Advertising: Aston Martin Markets Coupe as Scarce Resource --- New Line Will Boast Only 77 Vehicles; Yours for $1.8 Million ---- By Edward Taylor,"Automotive, Marketing","Automotive, Marketing"
2008-01-31 07:01:54.401,Technology Journal: SAP Forecasts Steady Growth --- CEO Is Confident Despite Economy; Profit Declines 6% ---- By Leila Abboud and Archibald Preuschat,"C-suite, Earnings losses, Economic growth, Mid-level executives","C-suite, Earnings losses, Economic growth"
2007-10-02 06:19:32.877,Earnings Digest -- Retail: Walgreen Earnings Fall Spurs Concern in Sector --- A Lack of Big Drugs Coming in Generic Form Contributes to Worry ---- By James Covert,"Earnings losses, Retail","Earnings losses, Problems, Retail"
2009-02-12 07:17:23.860,World News: Netanyahu and Livni Vie to Form a Ruling Coalition in Israel ---- By Charles Levinson,,
2009-09-01 06:07:51.129,Fund Track: Small-Cap Funds' Outsize Gains Over? --- This Year's Surge Is Unlikely to Continue ---- By Sam Mamudi,Small caps,Small caps
2008-10-21 06:18:52.374,The Financial Crisis: Global Fallout: German Exporters Feel the Financial Squeeze --- Heavily Dependent on Customers in the EU and U.S. Companies Trim Profit Forecasts and Scale Back Capital Spending ---- By Mike Esterl,"Financial crisis, Germany","Challenges, Financial crisis, Germany, Problems, Recession"
2008-07-18 06:26:02.050,Corporate News: Starbucks Reveals Locations of Stores to Be Closed ---- By Janet Adamy,"C-suite, Changes",Changes
2007-08-10 06:13:12.822,Politics & Economics -- Washington Wire: A Special Weekly Report From The Wall Street Journal's Capital Bureau ---- By Jackie Calmes,"Bush/Obama/Trump, Clintons",News conference
2008-10-16 06:20:13.796,Corporate News: Coke Overcomes Weak U.S. Results --- Beverage Giant Posts Better-Than-Expected Profit as International Sales Continue to Drive Growth ---- By Betsy McKay and Anjali Cordeiro,"C-suite, Economic growth, Mid-level executives, Revenue growth",Financial reports
2009-09-29 06:17:11.792,Deals & Deal Makers: Foes Take On 'Uptick' Rule for Stocks ---- By Scott Patterson,,
2007-05-17 06:14:31.756,Politics & Economics: Candidates Disclose Big Paychecks --- Millions for Giuliani; Hedge Fund Paid Edwards $479 000 ---- By Christopher Cooper,Executive pay,"C-suite, Executive pay"
2007-11-23 07:10:02.120,Latest Cut in DVD-Player Duel: Prices --- Deals Rev Up the Blu-ray HD DVD Battle ---- By Yukari Iwatani Kane and Sarah Mcbride,"Competition, Electronics, Product prices","Arts, Changes, Competition, Product prices"
2008-12-03 07:02:02.442,Crisis on Wall Street: Fidelity Will Open Funds To Offset Redemptions ---- By Jon Kamp,Financial crisis,"Challenges, Changes, Financial crisis, Problems"
2008-03-31 06:05:02.614,breakingviews.com / Financial Insight: Sovereign Funds Take Heat --- Critics at Home Dismayed By Some Investment Returns On Shopping Trips Abroad,,"Challenges, Changes, Problems"
2009-05-27 06:13:21.479,Nostalgia Ain't What It Used to Be As France Unearths Soviet Statues --- An Archaeologist Digs Up a Mixed Message Of Workers' Heyday -- and of Stalinism ---- By David Gauthier-Villars,,Environment 
2009-04-24 06:21:44.654,Deals & Deal Makers: AmEx's Customers Leave Cards at Home --- Net Tumbles 56% as Slumping Economy Hits High-End Consumers; More Job Cuts Planned ---- By Aparajita Saha-Bubna,"Credit cards, Earnings losses, Economic growth, Environment , Problems, Recession","Challenges, Credit cards, Earnings losses, Economic growth, Problems, Recession"
2009-03-10 06:17:12.251,U.S. News: Ruling Limits Scope of Voting Act --- Supreme Court Decision Could Make It Harder for Some Minority Candidates to Win ---- By Jess Bravin,"Justice Department, Police/crime",
2009-02-06 07:14:21.663,Credit Markets: Treasury Prices Gain Slightly --- Jobless Data Supply Worries Keep Gains in Check ---- By Deborah Lynn Blumberg,Treasury bonds,Treasury bonds
2007-11-19 04:50:00.151,Eyes on the Road: What Will the Car of the Future Look Like? --- Sen. Clinton's Push to Double Autos' Average Fuel Economy Is Possible but Complicated ---- By Joseph B. White,"Automotive, Clintons, Elections","Automotive, Clintons, Elections"
2007-09-11 06:12:02.967,Media & Marketing -- Advertising: Coupons Gain New Market on Cellphones ---- By Stephanie Kang,"Marketing, Mobile devices",Marketing
2009-11-18 07:19:12.265,Smarter Shoppers vs. Smarter Sellers --- Results Improve at Saks Target but Retailers Prepare for Holiday Bargain-Hunting Battle ---- By Ann Zimmerman Vanessa O'Connell and Elizabeth Holmes,"Competition, Retail","Competition, Retail"
2008-09-17 06:24:52.208,Lehman Workers Score Reprieve --- Barclays's President Agrees to Buy Bulk Of the Prime Assets Less the Risky Ones ---- By Randall Smith Diya Gullapalli and Jeffrey McCracken,"Acquired investment banks, C-suite, Investment banking, M&A","Acquired investment banks, Investment banking, M&A"
2008-10-30 06:04:12.641,Currents: Boots on the Ground or Weapons in the Sky? --- Budget Crunch Forces U.S. Military to Choose Which Form of Defense to Pursue; This-War-Itis vs. Next-War-Itis ---- By August Cole and Yochi J. Dreazen,"National security, US defense","Challenges, National security, Problems, US defense"
2009-03-19 06:19:22.658,The AIG Controversy: Critics Got Donations From Insurer --- Obama and Dodd Raised Money From the Firm for Presidential Campaigns ---- By Brody Mullins and T.W. Farnam,Bush/Obama/Trump,Bush/Obama/Trump
2007-12-06 07:17:52.006,Wednesday's Markets: Stocks Rise on Hopeful News About Credit Crisis Rates ---- By Peter A. McKay and Carolyn Cui,"Credit ratings, Financial crisis","Credit ratings, Financial crisis"
2008-06-04 06:06:21.129,Deals & Deal Makers: Intel Unit Still Invests With Global Outlook ---- By Rebecca Buckman,Investment banking,Investment banking
2009-09-11 06:13:02.985,International Finance: Ex-Banker Guilty of Insider Deals --- Hong Kong Judge Also Criticizes Morgan Stanley ---- By Jonathan Cheng,International exchanges,"C-suite, International exchanges, Lawsuits"
2007-10-05 06:18:12.712,Prosecutors Begin a Probe Of Bear Funds --- Fallout Continues From Mortgage Vehicles That Lost $1.6 Billion ---- By Paul Davies Kate Kelly and David Enrich,"Justice Department, Mortgages, Police/crime","Bear/bull market, Justice Department, Mortgages, Police/crime, Problems"
2009-04-30 06:08:43.898,Currents -- Law Journal -- There Goes the Neighborhood: A Fight Over Defining 'Blight' ---- By Nathan Koppel,Publishing,Publishing
2007-09-21 06:11:42.054,Business Brief -- American Home Mortgage: Loan Servicer Settles Dispute With Ginnie Mae,"Bank loans, Savings & loans",Bank loans
2007-01-03 07:03:26.968,Media & Marketing -- Advertising: Madison Avenue Sifts Through 'Clutter' --- Ad Trends Veer Toward Fewer TV Commercials Greater Use of Internet ---- By Brian Steinberg and Suzanne Vranica,"Internet, Marketing","Internet, Marketing"
2009-07-30 06:15:21.822,White House 'Beer Summit' Becomes Something of a Brouhaha --- U.S. Brewers Say Meeting With Professor Policeman Should Be All-American Affair ---- By Robert Tomsho,Bush/Obama/Trump,Bush/Obama/Trump
2008-09-08 06:05:22.162,Managing -- Theory & Practice: The 'Same Ol' Is Actually Good Enough for Many --- Usual Techniques Prove Successful For Productivity ---- By Scott Thurm,,
2009-03-11 06:20:32.660,U.S. News: Fed Considers Its Next Actions --- Amid Unrelenting Strains Options Include Purchasing Treasurys Fannie-Freddie Debt ---- By Jon Hilsenrath,"Federal Reserve, Options/VIX, Treasury bonds","Federal Reserve, Options/VIX, Treasury bonds"
2007-09-27 06:06:02.735,Politics & Economics: Senate Urges Sharing Of Power Within Iraq ---- By David Rogers,Iraq,"Challenges, Iraq, Problems"
2008-08-29 06:04:12.644,Earnings Digest: Ahold and Casino Report Large Drops in Net Profit ---- By Stefan Kloet,"Accounting, Earnings losses, Financial reports","Accounting, Earnings losses, Financial reports"
2009-12-22 07:04:52.530,Business Technology: China Telecom to Offer BlackBerry on Mainland in Bid to Gain Ground ---- By Lorraine Luk,China,China
2008-03-24 06:01:01.887,Fund Track: Bug Control: Gold Skeptics Use ETNs --- Notes Offer Ability To Go Short Take Leveraged Position ---- By John Spence,"Commodities, Currencies/metals, Options/VIX","Commodities, Currencies/metals, Options/VIX, Trading activity"
2008-08-13 06:24:42.067,International Business: Tesco Signs Deal With India's Tata --- U.K. Retailer Agrees To Build Warehouses For Conglomerate ---- By Eric Bellman in Mumbai and Aaron O. Patrick in London,"International exchanges, Retail","International exchanges, Retail"
2009-09-02 06:20:42.413,Technology -- Tech Journal: New Taser 'Shoots' Evidence --- Stun-Gun Maker's Technology Lets Police Record Video ---- By Veronica Dagher,,"Mobile devices, Police/crime"
2009-07-30 06:20:51.229,Earnings: ConocoPhillips Earnings Tumble --- Crude-Oil Production Increases but Refining Losses Drag Down Results ---- By Ben Casselman and Susan Daker,"C-suite, Earnings losses, Oil market","Accounting, C-suite, Commodities, Earnings losses, Financial reports, Oil market"
2009-08-12 06:18:22.420,Corporate News: Hedges Pay Off for Gas Producers --- Crackdown on Energy Speculators a Concern As Locked-In Prices Help Earnings ---- By Ann Davis,"Earnings losses, Environment ","Commodities, Environment "
2007-05-22 06:08:01.407,Earnings Digest Brief -- Saks Inc.: Earnings Tumble 86% After Year-Earlier Gain,Earnings losses,"C-suite, Earnings losses"
2009-01-08 07:07:12.966,Currents: The New Old Big Thing in Economics: J.M. Keynes ---- By Sudeep Reddy,,Economic growth
2007-02-27 07:18:22.243,Leading the News: Toyota Is Expected to Pick Site In Mississippi for Assembly Plant ---- By Norihiko Shirouzu,Automotive,Automotive
2009-12-16 07:20:22.515,Deals & Deal Makers: Wells Fargo Keeps Assets As It Raises $12.25 Billion ---- By Kathy Shwiff and Marshall Eckblad,"C-suite, Mid-level executives",C-suite
2007-10-23 06:11:13.717,Earnings Digest Brief -- Electrolux AB: Doubts Raised About Outlook Despite 73% Jump in Profit,"C-suite, Financial reports","C-suite, Challenges, Changes, Financial reports, Problems"
2007-02-16 07:15:01.664,The Economy: Today's Agenda / A look ahead at newsworthy events,Economic growth,Economic growth
2007-11-02 06:13:12.147,Deals & Deal Makers: Deal Journal / Breaking Insight From WSJ.com,"News conference, Publishing",Publishing
2009-10-14 06:13:52.182,Currents -- The Numbers Guy: New Research on Spanking Might Need a Time Out --- Studies Aim to Settle the Longstanding Debate Over the Disciplinary Practice's Effects but Statistical Shortcomings Persist ---- By Carl Bialik,Research,Research
2007-11-30 07:19:13.866,Leading the News: Ping An's Fortis Stake Brings Insurer Expertise ---- By Laura Santini,"C-suite, Control stakes","C-suite, Control stakes"
2009-12-08 07:03:12.694,Corporate News: U.K. KitKats Shift to Fair Trade As Nestle Burnishes Reputation ---- By Deborah Ball,Environment ,Changes
2008-06-02 06:13:12.508,U.S. News: Blaze Hits Universal Studios' Back Lot --- Famous Movie Sets Video Vault Burn; Fire Skirts Park ---- By Peter Sanders,Environment ,Environment 
2008-10-10 06:06:32.356,Options Report: Volatility Index Hits High As Contract Prices Shoot Up ---- By Tennille Tracy,Options/VIX,Options/VIX
2007-10-25 06:19:52.154,Deals & Dealmakers: TPG Places a Growth Bet On China's Drug Industry ---- By Nicholas Zamiska and Laura Santini,"China, Pharma","China, Pharma"
2008-08-07 06:21:53.198,Chrysler Nissan In Talks To Team Up On Key Cars ---- By Neal E. Boudette,Automotive,Automotive
2008-03-26 06:08:32.966,PORTALS: Does the Web Deserve The Power It Gained To Influence Politics? ---- By Lee Gomes,Internet,"Challenges, Changes, Internet, Problems"
2009-02-10 07:04:52.425,Corporate News: Gazprom Cuts Sales to Europe as Energy Demand Weakens ---- By Guy Chazan,"Currencies/metals, Environment , Oil market","Challenges, Changes, Environment , Oil market, Problems"
2009-04-23 06:13:33.118,U.S. News: Texas Moves to Foster Solar Power --- State Senate Passes Bill Offering $500 Million to Subsidize Small-Scale Users ---- By Russell Gold,"Environment , Programs/initiatives","Environment , Programs/initiatives, Utilities"
2008-04-16 06:07:33.525,U.S. Bancorp Profit Dips --- Bank Others Trust They Can Weather Rise in Credit Losses ---- By Donna Kardos,"Accounting, Earnings losses, Financial reports, Problems","Accounting, C-suite, Challenges, Earnings losses, Problems"
2008-04-15 06:14:42.571,Business Brief -- Teck Cominco Ltd.: Agreement Is Reached To Buy Global Copper,"Commodities, Mining",Commodities
2007-03-16 06:19:42.892,Corporate Focus: GM Takes Steps to Improve Its Financial Reporting ---- By John D. Stoll,"Accounting, Automotive, Financial reports","Accounting, Automotive, Financial reports"
2007-04-25 06:04:12.479,Politics & Economics: China Moves to Boost Transparency but Much Is Kept Hidden ---- By Geoffrey A. Fowler in Beijing and Juying Qin in Hong Kong,China,"Challenges, Changes, China, Problems"
2009-09-24 06:17:12.351,The G-20 Summit: Investors Worry Global Overhaul Will Weaken the Dollar ---- By Neil Shah and Alex Frangos,"Challenges, Changes, Currencies/metals, Problems","Challenges, Changes, Currencies/metals, Problems"
2008-08-08 06:05:42.350,Business Brief -- Sirius XM Radio Inc.: Newly Merged Company's Quarterly Loss Narrows,Earnings losses,"C-suite, Earnings losses"
2009-09-30 06:20:21.023,World News: Russia Revives Privatization --- Putin Signals Shift After Years of Increased Government Control ---- By Alexander Kolyandr and William Mauldin,"Private/public sector, Russia","Changes, Private/public sector, Russia"
2007-12-20 07:17:14.359,Sallie Offers Little on Strategy --- CEO in Investor Call Fails to Assuage Worry As Shares Slide by 21% ---- By John Hechinger,"C-suite, Mid-level executives","C-suite, Challenges, Problems"
2007-11-16 07:19:23.139,Leading the News: Global Accounting Effort Gains a Step --- SEC Drops Requirement On Foreign Companies But Other Challenges Loom ---- By David Reilly and Kara Scannell,"Accounting, Challenges, Problems, SEC","Accounting, Challenges, Changes, SEC"
2009-06-09 06:08:11.143,Deals & Deal Makers: Deal Journal / Breaking Insight from WSJ.com ---- By Dana Cimilluca,"News conference, Publishing",News conference
2007-11-21 07:20:52.729,Commodities Report: Oil Surges Above $98 a Barrel --- Inventory Data To Become Focus; Gold Touches $800 ---- By Matt Chambers,"Commodities, Currencies/metals, Oil market","Commodities, Currencies/metals, Oil market"
2007-11-27 07:16:43.827,Heard on the Street: Dubai Fund Snags Sony Stake --- Move Shows Hunger For Overseas Deals By Mideast Investors ---- By Yukari Iwatani Kane,International exchanges,International exchanges
2008-04-09 06:11:52.186,Earnings Digest -- Energy: Rosneft Says Net Rise Fueled by Acquisitions ---- A WSJ News Roundup,"Environment , Financial reports, M&A, Oil market, Russia","Environment , Financial reports, M&A, Oil market, Revenue growth"
2007-08-07 06:15:22.980,Market's Ride: Subprime Fallout: Why Surge in Buybacks May Ease --- As Credit Gets Tighter Many Firms May Tread With Greater Caution ---- By Justin Lahart,"Credit cards, Financial crisis","Bank loans, Challenges, Changes, Financial crisis, Problems"
2008-09-11 06:02:32.972,Technology: Amazon Scores Exclusive E-Book Deal --- Bios on Mrs. McCain Mrs. Obama Hit Kindle; Winner Goes to Print ---- By Jeffrey A. Trachtenberg,"Internet, Publishing","Internet, Publishing"
2007-04-25 08:00:10.334,Politics & Economics: McCain Gears Up to Make His Case --- War Stance Could Erode Support but Campaign Sees Flawed Rivals ---- By Jackie Calmes,,Economic growth
2008-05-23 06:22:12.078,International Finance: Chaos Surrounds Atos --- Meeting Called Off Ahead of a Vote To Shake Up Board ---- By Dana Cimilluca,"C-suite, Mid-level executives","C-suite, Challenges, Changes, Mid-level executives, Problems"
2007-04-12 06:04:22.818,Moving the Market: Xstrata Reaches Deal to Sell Aluminum Business to Apollo ---- By Henry E. Teitelbaum,,M&A
2009-11-04 07:20:02.482,Corporate News: U.S. Car Sales Are Flat in October --- GM Ford Post Slight Gains but Chrysler Sees 30% Plunge ---- By Matthew Dolan Neal E. Boudette and Sharon Terlep,Automotive,Automotive
2007-09-17 06:10:13.892,Technology & Health: Report Sheds Light on Hormone Therapy --- Researchers Identify Molecule That Hinders Estrogen Treatment ---- By Ron Winslow,"Environment , Health insurance","Internet, Pharma, Research"
2007-08-31 06:09:00.433,Deals & Deal Makers: China Rejects Appliance Maker's Plan To Sell Stake to Goldman Sachs Unit ---- By Zheng Jin,"China, Control stakes","China, Control stakes, Investment banking"
2008-01-25 07:15:52.551,breakingviews.com / Financial Insight: French Bank's Elusive Truth --- In Wake of $7.2 Billion Loss Societe; Generale Lacks A Suitable Explanation,"Accounting, Bankruptcy, Earnings losses, Financial crisis, Financial reports","Accounting, Bankruptcy, C-suite, Earnings losses, Financial reports, Problems"
2009-10-20 06:10:52.722,Heard on the Street: Windfalls Show That Bonus Tax Makes Sense ---- By Simon Nixon,Taxes,Taxes
2007-10-22 06:11:23.839,Nissan Races to Make Smaller Cheaper Cars --- Industry Shifts Strategy As Big-Vehicle Sales Fade; Simplifying the Doors ---- By Amy Chozick,Automotive,"Automotive, Changes"
2007-01-19 07:17:32.911,Thursday's Markets: Stocks Shrug Off Oil Decline And Catch Apple Downdraft ---- By Peter A. McKay,"Bear/bull market, Commodities, Oil market","Bear/bull market, Commodities, Competition, Oil market"
2008-06-10 06:18:13.139,Media & Marketing: U.S. News Will Cut Back To Biweekly Publication ---- By Shira Ovide and Russell Adams,"Marketing, Publishing","Changes, Marketing"
2008-01-11 07:05:13.685,Campaign' 2008: Clinton Courts Hispanics for Crucial Super Tuesday --- Growing Voter Bloc Could Help Swing Results in Key States ---- By Jim Carlton,Clintons,Clintons
2009-07-14 06:15:21.586,U.S. News: CIA Plan Envisioned Hit Teams Killing al Qaeda Leaders ---- By Siobhan Gorman,"National security, US defense","Justice Department, National security, SEC, US defense"
2009-11-30 07:09:12.850,Deals & Deal Makers: Indian Property Firms Are In IPO Rush ---- By John Satish Kumar,,
2009-03-17 06:11:52.479,World News: Leftist Victor in El Salvador Offers 'Unity' to Opponents ---- By Joel Millman,,
2009-03-13 06:17:52.385,Swiss Zoo Has One Too Many Hippos So Little Farasi May Have to Go --- That Could Mean Euthanizing the Baby But This Chubby Fellow Has a Legion of Fans ---- By John W. Miller,Humor/language,
2008-08-28 06:04:53.753,International Business: China Mobile Net Rises 45% On Solid Subscriber Growth ---- By Lorraine Luk,China,China
2007-06-22 06:36:00.063,EuroLinks Daily View: Russia Could Wrest Project From BP After Field Misses Production Targets,"Oil market, Russia","Challenges, Changes, Problems, Russia"
2009-02-26 07:04:43.599,Media & Marketing: Washington Post Net Plunges --- Profit Falls 77% as Newspaper Magazine Units Struggle ---- By Russell Adams and Shirleen Dorman,"Earnings losses, Marketing","Challenges, Earnings losses, Marketing, Problems, Publishing"
2007-11-13 07:09:32.339,Business Brief -- Mutua Madrilena: Stake in Banco Santander Will Be Sold for $1.61 Billion ---- Roundup,Control stakes,Control stakes
2008-04-29 06:05:33.629,International Business: Help Wanted: Top Managers in China --- For U.S. Companies Main Hurdle Lies In Finding Recruits ---- By Andrew Batson,"C-suite, China","C-suite, China"
2008-06-17 06:13:13.913,World News: European Union Softens Stance on Ireland Over Treaty Rejection --- Conciliatory Sarkozy Sees No Need For Two-Tier Bloc ---- A WSJ News Roundup,"Environment , European politics","Changes, European politics"
2008-10-01 06:11:53.135,Deals & Deal Makers: Abertis Lets Bid Expire For Pennsylvania Turnpike ---- By Santiago Perez,,
2009-04-24 06:23:34.764,Media & Marketing: McClatchy Co.'s Loss Balloons As Ad Sales Fall ---- By Shira Ovide,"Earnings losses, Marketing","Earnings losses, Marketing"
2007-11-13 07:19:22.918,Leading the News: Deal for Cognos Lifts IBM In Intelligence-Software Field ---- By William M. Bulkeley,"C-suite, M&A","C-suite, Competition, M&A"
2008-08-29 06:07:12.821,International Finance: Bank of China's Profit Climbs But Doesn't Match Peers' Gains ---- By Amy Or,China,"China, Competition, Financial reports"
